68	34	134	1,300|2,160	-1	3	188	1	0,2,1786
69	34	135	1,600|2,320	-1	4	388	1	0,2,1787
70	35	138	1,300|2,160	-1	3	188	1	0,2,1790
71	35	139	1,600|2,320	-1	4	388	1	0,2,1791
72	36	142	1,300|2,160	-1	3	188	1	0,2,1794
73	36	143	1,600|2,320	-1	4	388	1	0,2,1795
74	37	146	1,300|2,160	-1	3	188	1	0,2,1798
75	37	147	1,600|2,320	-1	4	388	1	0,2,1799
76	38	150	1,300|2,160	-1	3	288	1	0,2,1802
77	38	151	1,600|2,320	-1	4	588	1	0,2,1803
78	39	154	1,300|2,160	-1	3	288	1	0,2,1806
79	39	155	1,600|2,320	-1	4	588	1	0,2,1807
80	40	158	1,300|2,160	-1	3	188	1	0,2,1810
81	40	159	1,600|2,320	-1	4	388	1	0,2,1811
82	41	162	1,300|2,160	-1	3	188	0	0,2,1814
83	41	163	1,600|2,320	-1	4	388	0	0,2,1815
84	42	166	1,300|2,160	-1	3	188	0	0,2,1818
85	42	167	1,600|2,320	-1	4	388	0	0,2,1819
86	43	170	1,300|2,160	-1	3	188	0	0,2,1822
87	43	171	1,600|2,320	-1	4	388	0	0,2,1823
88	44	173	1,150|2,80	-1	2	88	1	0,2,1825
89	44	174	1,300|2,160	-1	3	188	1	0,2,1826
90	44	175	1,600|2,320	-1	4	388	1	0,2,1827
91	45	178	1,300|2,160	-1	3	188	0	0,2,1830
92	45	179	1,600|2,320	-1	4	388	0	0,2,1831
93	46	182	1,300|2,160	-1	3	188	0	0,2,1834
94	46	183	1,600|2,320	-1	4	388	0	0,2,1835
95	47	186	1,300|2,160	-1	3	188	0	0,2,1838
96	47	187	1,600|2,320	-1	4	388	0	0,2,1839
97	48	190	1,300|2,160	-1	3	188	1	0,2,1842
98	48	191	1,600|2,320	-1	4	388	1	0,2,1843
99	49	194	1,300|2,160	-1	3	188	0	0,2,1846
100	49	195	1,600|2,320	-1	4	388	0	0,2,1847
101	50	197	1,150|2,80	-1	2	88	1	0,2,1849
102	50	198	1,300|2,160	-1	3	188	1	0,2,1850
103	50	199	1,600|2,320	-1	4	388	1	0,2,1851
104	51	201	1,150|2,80	-1	2	88	1	0,2,1853
105	51	202	1,300|2,160	-1	3	188	1	0,2,1854
106	51	203	1,600|2,320	-1	4	388	1	0,2,1855
107	52	206	1,300|2,160	-1	3	188	1	0,2,1858
108	52	207	1,600|2,320	-1	4	388	1	0,2,1859
109	53	210	1,300|2,160	-1	3	188	0	0,2,1862
110	53	211	1,600|2,320	-1	4	388	0	0,2,1863
111	54	214	1,300|2,160	-1	3	188	0	0,2,1866
112	54	215	1,600|2,320	-1	4	388	0	0,2,1867
113	55	217	1,150|2,80	-1	2	88	1	0,2,1869
114	55	218	1,300|2,160	-1	3	188	1	0,2,1870
115	55	219	1,600|2,320	-1	4	388	1	0,2,1871
116	56	221	1,150|2,80	-1	2	88	1	0,2,1873
117	56	222	1,300|2,160	-1	3	188	1	0,2,1874
118	56	223	1,600|2,320	-1	4	388	1	0,2,1875
