26	药神宫	9	3	10	29,50|36,51|37,54|39,55	4	3	30	7	30	50	29,36,37,39
27	月堡	6	3	10	25,42|28,43|31,44	4	3	30	7	30	50	25,28,31
28	金銮殿	12	3	-1	27,43|29,49|30,45	1	-1	0	-1	30	-1	27,29,30
29	皇家花园	6	3	10	26,50|28,49	4	3	30	7	30	50	26,28
30	腾皇阁	6	3	10	28,45|31,46|36,48	4	3	20	7	30	40	28,31,36
31	金圣塔	9	3	10	27,44|30,46|32,47	4	3	20	7	30	40	27,30,32
32	金将军府	4	3	10	31,47|34,39|35,64	4	3	15	7	30	30	31,34,35
33	毒将军府	4	3	10	23,35|25,40|34,38	4	3	15	7	30	30	23,25,34
34	风云楼	4	3	10	22,37|32,39|33,38	4	3	10	7	30	20	22,32,33
35	日圣堡	4	3	10	32,64|36,52|67,65	4	3	5	7	30	20	32,36,67
36	铁圣居	9	3	10	26,51|30,48|35,52|37,53	4	3	15	7	30	30	26,30,35,37
37	鬼将军府	4	3	10	26,54|36,53|38,56|67,66	4	3	15	7	30	30	26,36,38,67
38	御膳坊	4	3	10	37,56|41,59|42,60	4	3	10	7	30	20	37,41,42
39	银宫	4	3	10	26,55|40,58|41,57	4	3	20	7	30	40	26,40,41
40	火神居	4	3	10	39,58|41,116|43,62	4	3	5	7	30	20	39,41,43
41	剑魔居	4	3	10	38,59|39,57|40,116|43,41	4	3	5	7	30	20	38,39,40,43
42	魔兽宫	4	3	10	38,60|43,63	4	3	5	7	30	20	38,43
43	金光寺	2	2	10	40,62|41,61|42,63|48,67|49,68	3	2	5	7	30	20	40,41,42,48,49
44	甲贺城	3	2	10	21,95|45,91	4	2	5	7	30	20	21,45
45	精武道场	3	2	10	44,91|51,92|53,90	4	2	10	7	30	20	44,51,53
46	蛟龙堂	3	2	10	48,82|50,81|58,80	4	2	10	7	30	20	48,50,58
47	外务厅	3	2	10	49,70|60,115	4	2	15	7	30	30	49,60
48	讲武堂	3	2	10	43,67|46,82|57,71	4	2	10	7	30	20	43,46,57
49	内务厅	3	2	10	43,68|47,70|57,69	4	2	15	7	30	30	43,47,57
50	礼宾府	3	2	10	46,81|56,83|73,97	4	2	5	7	30	20	46,56,73
51	武林	3	2	10	45,92|52,87|56,114|73,96	4	2	10	7	30	20	45,52,56,73
52	盖世堡	10	2	10	51,87|55,86|56,84|63,85	4	2	30	7	30	50	51,55,56,63
53	伊贺城	3	2	10	21,94|45,90|54,113|55,89	4	2	5	7	30	20	21,45,54,55
54	腾龙阁	3	2	10	21,93|53,113|55,88	4	2	5	7	30	20	21,53,55
55	剑湖居	3	2	10	52,86|53,89|54,88	4	2	20	7	30	40	52,53,54
56	极乐园	10	2	10	50,83|51,114|52,84|59,79	4	2	20	7	30	40	50,51,52,59
57	罗刹天地寺	3	2	10	48,71|49,69|60,72	4	2	15	7	30	30	48,49,60
58	药圣府	10	2	10	46,80|59,76|61,74	4	2	20	7	30	40	46,59,61
59	三宝殿	7	2	10	56,79|58,76|62,78	4	2	30	7	30	50	56,58,62
60	元老阁	3	2	10	47,115|57,72|61,73	4	2	20	7	30	40	47,57,61
61	火云阁	7	2	10	58,74|60,73|62,75	4	2	30	7	30	50	58,60,62
62	罗刹殿	13	2	-1	59,78|61,75|63,77	1	-1	0	-1	30	-1	59,61,63
63	金刚寺	7	2	10	52,85|62,77	4	2	30	7	30	50	52,62
64	迷城	11	0	10	68,111|72,110	4	-1	0	7	30	10	68,72
65	雄心殿	11	0	10	72,105|75,104	4	-1	0	7	30	10	72,75
66	神山堡	14	0	30	71,108|74,107|76,103	2	-1	0	7	30	50	71,74,76
67	绝世小筑	2	0	10	35,65|37,66|68,112|70,102|71,109	3	-1	0	7	30	15	35,37,68,70,71
68	极乐堡	4	0	10	64,111|67,112	4	-1	0	7	30	10	64,67
69	天地寺	3	0	10	70,101|73,100	4	-1	0	7	30	10	70,73
70	东照宫	3	0	10	67,102|69,101	4	-1	0	7	30	10	69,67
71	清水寺	4	0	10	66,108|67,109	4	-1	0	7	30	10	66,67
72	圣母堂	2	0	10	9,30|15,29|64,110|65,105|74,106	3	-1	0	7	30	15	9,15,64,65,74
73	亡神之潮	2	0	10	50,97|51,96|69,100|75,98|76,99	3	-1	0	7	30	15	50,51,69,75,76
74	邪拳道场	11	0	10	66,107|72,106	4	-1	0	7	30	10	66,72
75	问参殿	3	0	10	65,104|73,98	4	-1	0	7	30	10	65,73
76	中华武馆	3	0	10	66,103|73,99	4	-1	0	7	30	10	66,73
